rule,style,score,pos,t_trades,t_win_rate,t_avg_return,t_median_return,t_total_compound,t_best,t_worst,m_months,m_avg_month_pct,m_median_month_pct,m_pct_months_ge_20,m_pct_months_gt_0,m_best_month_pct,m_worst_month_pct,m_months_ge_20
FMR_mfi13<20_pb<=0.15_none_none_h4_mid0_s0.07,mean_rev,15.36,1,641,55.69422776911076,2.505907246749156,1.5290555920126847,209780.0894780366,99.33862433862434,-50.0,89,4.1,1.76,9.0,60.7,48.28,-18.02,8
FMR_mfi14<30_pb<=0.25_none_none_h2_mid0_s0.07,mean_rev,15.31,2,1709,53.42305441778819,1.0272571490694204,0.7561472761268728,52515.00191195557,100.0,-50.0,91,3.87,2.04,6.6,63.7,54.51,-20.3,6
FMR_mfi14<30_pb<=0.25_none_none_h2_mid1_s0.07,mean_rev,15.31,2,1709,53.42305441778819,1.0272571490694204,0.7561472761268728,52515.00191195557,100.0,-50.0,91,3.87,2.04,6.6,63.7,54.51,-20.3,6
FMR_mfi14<30_pb<=0.0_none_none_h3_mid0_s0.1,mean_rev,15.25,2,528,58.14393939393939,1.981495370117413,1.9512672485198612,2188.1772171941757,100.0,-50.0,89,3.05,1.68,2.2,61.8,91.78,-13.02,2
FSQ_mfi6>=55_brk0_mup1_h4_s0.08,squeeze_break,15.14,2,1693,46.13112817483756,1.9741513800682584,-0.7633555039077033,2386833532.409473,100.0,-50.0,90,4.03,2.71,8.9,57.8,52.48,-22.94,8
FMR_mfi13<30_pb<=0.15_none_none_h2_mid0_s0.07,mean_rev,15.12,1,1471,52.88919102651257,0.9734222258807617,0.6342577501316615,1234.5624361724251,100.0,-50.0,91,3.33,2.73,8.8,63.7,37.81,-24.71,8
FMR_mfi13<30_pb<=0.15_none_none_h2_mid1_s0.07,mean_rev,15.12,1,1471,52.88919102651257,0.9734222258807617,0.6342577501316615,1234.5624361724251,100.0,-50.0,91,3.33,2.73,8.8,63.7,37.81,-24.71,8
FMR_mfi6<30_pb<=0.25_bw40_none_h2_mid0_s0.1,mean_rev,15.08,1,1435,50.59233449477352,0.9555548576142423,0.1492498979695167,57621.4622045587,100.0,-40.84507035263212,89,2.36,3.46,9.0,58.4,50.21,-22.82,8
FMR_mfi6<30_pb<=0.25_bw40_none_h2_mid1_s0.1,mean_rev,15.08,1,1435,50.59233449477352,0.9555548576142423,0.1492498979695167,57621.4622045587,100.0,-40.84507035263212,89,2.36,3.46,9.0,58.4,50.21,-22.82,8
FMR_mfi6<30_pb<=0.25_none_none_h3_mid1_s0.07,mean_rev,15.07,1,3111,52.94117647058824,0.9766277774377987,0.7194301404815251,2604.4592579161035,100.0,-50.0,91,4.16,2.14,11.0,59.3,51.3,-21.83,10
FMR_mfi6<30_pb<=0.25_bw40_none_h2_mid1_s0.07,mean_rev,15.07,1,1435,50.522648083623686,0.9600437213171892,0.12820470173140475,62215.76118736155,100.0,-40.84507035263212,89,2.36,3.46,9.0,58.4,50.21,-22.82,8
FMR_mfi6<30_pb<=0.25_bw40_none_h2_mid0_s0.07,mean_rev,15.07,1,1435,50.522648083623686,0.9600437213171892,0.12820470173140475,62215.76118736155,100.0,-40.84507035263212,89,2.36,3.46,9.0,58.4,50.21,-22.82,8
FMR_mfi13<20_pb<=0.25_none_none_h3_mid0_s0.1,mean_rev,15.01,2,819,54.94505494505495,1.5119721857179655,0.9985859422354526,3265.1526456415277,100.0,-50.0,89,2.64,2.22,3.4,59.6,45.72,-14.78,3
FMR_mfi13<20_pb<=0.25_none_none_h4_mid1_s0.07,mean_rev,14.99,2,820,56.58536585365853,1.8590033142584081,1.467128287973929,51397.00658812036,100.0,-50.0,90,2.82,2.35,3.3,64.4,32.58,-20.3,3
FWALK_mfi6>=50_pb>=0.8_mup1_h2,band_walk,14.97,2,3176,49.4647355163728,1.810490870809449,-0.0594183361037004,9.858454075355093e+16,100.0,-50.0,91,4.93,2.58,13.2,60.4,58.61,-30.51,12
